Contrato ID,Número Contrato,Status,Matrícula,Cancelamento,Curso ID,Fonte,Pessoa ID,Titular ID,Vendedor ID,Telemarketing ID
7218,7133,Concluído,2020-07-08,,52,Teste - Backup F10 Cebrac,102678,102679.0,102666.0,102878.0
7219,7134,Cancelado,2020-07-08,2020-08-08,54,Teste - Backup F10 Cebrac,102680,102681.0,102666.0,102717.0
7220,7135,Não Aprovado,2020-07-08,,52,Teste - Backup F10 Cebrac,102682,,102666.0,102717.0
7221,7136,Cancelado,2020-07-08,2020-12-30,53,Teste - Backup F10 Cebrac,102683,102684.0,102675.0,102878.0
7222,7137,Não Aprovado,2020-07-08,,54,Teste - Backup F10 Cebrac,102685,,102675.0,102878.0
7223,7138,Cancelado,2020-07-08,2020-07-23,54,Teste - Backup F10 Cebrac,102686,102685.0,102675.0,102878.0
7224,7139,Cancelado,2020-07-08,2021-05-25,54,Teste - Backup F10 Cebrac,102687,102688.0,102675.0,102716.0
7225,7140,SPC,2020-07-08,,52,Teste - Backup F10 Cebrac,102689,,102675.0,102878.0
7226,7141,Concluído,2020-07-08,,54,Teste - Backup F10 Cebrac,102690,102691.0,102675.0,102668.0
7227,7142,Concluído,2020-07-08,,52,Unipro - Amigos Balcão Julho 2020,102692,102693.0,102675.0,102716.0
7228,7143,SPC,2020-07-08,,52,Teste - Backup F10 Cebrac,102694,102695.0,102675.0,102878.0
7229,7144,Concluído,2020-07-08,,52,Teste - Backup F10 Cebrac,102696,102697.0,102675.0,102716.0
7230,7145,Concluído,2020-07-24,,52,Teste - Backup F10 Cebrac,102707,,102661.0,102716.0
7231,7146,SPC,2020-07-09,,52,Teste - Backup F10 Cebrac,102721,,102666.0,102717.0
7232,7147,SPC,2020-07-09,,54,Teste - Backup F10 Cebrac,102724,,102660.0,102878.0
7233,7148,Pré Matrícula,2020-07-09,,54,Teste - Backup F10 Cebrac,102726,,102666.0,102717.0
7234,7149,SPC,2020-07-24,,52,Teste - Backup F10 Cebrac,102728,,102660.0,102717.0
7235,7150,SPC,2020-07-24,,54,Teste - Backup F10 Cebrac,102729,,102661.0,102716.0
7236,7151,Cancelado,2020-07-24,2020-08-08,54,Teste - Backup F10 Cebrac,102730,102732.0,102661.0,102717.0
7237,7152,Cancelado,2020-07-09,2020-08-10,52,Unipro - Amigos Balcão Julho 2020,102731,,102666.0,102717.0
7238,7153,Cancelado,2020-07-24,2020-10-29,52,Unipro - Tele Pesquisa Wecsley Julho 2020,102733,,102661.0,102717.0
7239,7154,Cancelado,2020-07-23,2020-09-30,54,Teste - Backup F10 Cebrac,102735,102736.0,102660.0,104252.0
7240,7155,Cancelado,2020-07-23,2020-08-25,54,Unipro - Tele Pesquisa Wecsley Julho 2020,102737,,102660.0,102702.0
7241,7156,Cancelado,2020-07-24,2022-12-12,54,Teste - Backup F10 Cebrac,102738,,102660.0,102668.0
7242,7157,Anulado,2020-07-09,,52,Teste - Backup F10 Cebrac,102739,,102660.0,102717.0
